product_id,timestamp,price,midprice,log_return,spread_abs,spread_bps,vol_60s,mean_return_60s,n_ticks_60s,trade_intensity_60s,future_vol_60s,vol_spike
BTC-USD,2026-04-04 22:54:57.175677226+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,0.0,0.0,1,0.016666666666666666,4.831338492132062e-05,1
BTC-USD,2026-04-04 22:54:57.720172652+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,0.0,0.0,2,0.03333333333333333,4.831338492132062e-05,1
BTC-USD,2026-04-04 22:54:57.744550448+00:00,67377.23,67377.235,-1.4841808229137495e-07,0.010000000009313226,0.0014841808229906176,7.420904114568747e-08,-7.420904114568747e-08,3,0.05,4.8710460158465076e-05,1
BTC-USD,2026-04-04 22:54:57.969501445+00:00,67377.23,67377.235,0.0,0.010000000009313226,0.0014841808229906176,6.99649549592895e-08,-4.9472694097124984e-08,4,0.06666666666666667,4.8865342775518446e-05,1
BTC-USD,2026-04-04 22:54:57.974667011+00:00,67377.24,67377.235,1.4841808235688598e-07,0.010000000009313226,0.0014841808229906176,1.0494743246209591e-07,1.637775922952122e-17,5,0.08333333333333333,4.902171084101524e-05,1
BTC-USD,2026-04-04 22:54:58.220518907+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,9.386783721972583e-08,1.3102207383616978e-17,6,0.1,4.941309543580061e-05,1
BTC-USD,2026-04-04 22:54:58.470586862+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,8.568921978244476e-08,1.0918506153014147e-17,7,0.11666666666666667,4.957221997331756e-05,1
BTC-USD,2026-04-04 22:54:58.720754287+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,7.93328020084151e-08,9.358719559726412e-18,8,0.13333333333333333,4.973289176055371e-05,1
BTC-USD,2026-04-04 22:54:58.969602391+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,7.420904116206523e-08,8.18887961476061e-18,9,0.15,4.9895136035663504e-05,1
BTC-USD,2026-04-04 22:54:59.017373901+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,6.996495497473061e-08,7.279004102009432e-18,10,0.16666666666666666,4.9895136035663504e-05,1
BTC-USD,2026-04-04 22:54:59.220375171+00:00,67377.24,67377.235,0.0,0.010000000009313226,0.0014841808229906176,6.637458423338314e-08,6.551103691808489e-18,11,0.18333333333333332,5.005897861693287e-05,1
BTC-USD,2026-04-04 22:54:59.258243546+00:00,67377.23,67377.235,-1.4841808229137495e-07,0.010000000009313226,0.0014841808229906176,7.632540542276763e-08,-1.3492552929623992e-08,12,0.2,5.022445453795447e-05,1
BTC-USD,2026-04-04 22:54:59.471496057+00:00,67377.23,67377.235,0.0,0.010000000009313226,0.0014841808229906176,7.317110135286437e-08,-1.2368173518821993e-08,13,0.21666666666666667,5.022445453795447e-05,1
